,city,lat,lon,temp,hum,clo,win,country,date
84,thompson,55.7435,-97.8558,50.16,71,75,19.57,CA,1628793526
85,berezovyy,51.6667,135.7,54.5,90,12,2.75,RU,1628793527
86,pisco,-13.7,-76.2167,64.45,72,20,14.97,PE,1628793529
87,evensk,61.95,159.2333,47.98,94,100,2.75,RU,1628793530
88,las vegas,36.175,-115.1372,98.82,40,1,8.05,US,1628793241
89,olinda,-8.0089,-34.8553,80.33,74,40,11.5,BR,1628793506
90,esmeraldas,-19.7625,-44.3139,78.91,23,6,4.47,BR,1628793534
91,kapaa,22.0752,-159.319,81.12,71,20,1.99,US,1628793535
92,gornopravdinsk,60.05,69.9,52.63,77,65,1.34,RU,1628793536
93,itarema,-2.9248,-39.9167,83.08,71,10,20.18,BR,1628793538
94,tarko-sale,64.9225,77.785,55.22,64,72,8.77,RU,1628793539
95,nikolskoye,59.7035,30.7861,64.29,96,100,9.62,RU,1628793541
96,nome,64.5011,-165.4064,42.87,61,1,4.61,US,1628793543
97,tsabong,-26.0217,22.401,50.16,33,3,12.44,BW,1628793544
98,markova,48.6758,24.4138,62.19,77,78,3.49,UA,1628793546
99,port alfred,-33.5906,26.891,54.99,72,100,10.42,ZA,1628793547
100,cidreira,-30.1811,-50.2056,57.07,67,100,9.91,BR,1628793549
101,victoria,22.2855,114.1577,84.33,85,100,6.44,HK,1628793435
102,murray bridge,-35.1167,139.2667,54.12,94,100,6.8,AU,1628793551
103,ouesso,1.6136,16.0517,75.69,75,100,3.13,CG,1628793553
104,kaohsiung,22.6163,120.3133,79.03,97,75,3.0,TW,1628793554
105,zeya,53.75,127.2667,56.34,88,53,2.46,RU,1628793555
106,constitucion,-35.3333,-72.4167,54.86,69,4,6.96,CL,1628793557
107,parana,-31.732,-60.5238,60.57,46,99,5.12,AR,1628793558
108,jiangkou,25.4872,119.1986,82.29,95,100,8.59,CN,1628793559
109,yellowknife,62.456,-114.3525,57.72,77,75,8.05,CA,1628793561
110,rocha,-34.4833,-54.3333,53.44,66,14,5.84,UY,1628793562
111,saskylakh,71.9167,114.0833,45.16,83,100,12.3,RU,1628793563
112,doka,13.5167,35.7667,72.45,94,100,11.9,SD,1628793565
113,airai,-8.9266,125.4092,56.77,68,34,3.4,TL,1628793566
114,cayenne,4.9333,-52.3333,84.09,79,75,3.0,GF,1628793568
115,trat,12.5,102.5,77.04,94,86,4.0,TH,1628793570
116,stepnogorsk,52.3544,71.8869,55.58,88,100,12.03,KZ,1628793571
117,port hardy,50.6996,-127.4199,62.78,77,20,4.61,CA,1628793573
118,dunedin,-45.8742,170.5036,47.8,72,12,8.01,NZ,1628793521
119,mahebourg,-20.4081,57.7,72.25,83,75,13.8,MU,1628793575
120,katsuura,35.1333,140.3,75.31,92,100,8.55,JP,1628793578
121,norman wells,65.282,-126.8329,62.64,63,75,10.36,CA,1628793579
122,batagay,67.6333,134.6333,56.97,74,99,2.82,RU,1628793580
123,takhtamygda,54.1,123.5667,52.25,92,19,1.99,RU,1628793582
124,kumbo,6.2,10.6667,59.43,98,100,2.42,CM,1628793583
125,arlit,18.7369,7.3853,86.16,38,100,7.38,NE,1628793584
126,batemans bay,-35.7167,150.1833,45.91,78,0,4.59,AU,1628793586
127,labuhan,-6.8844,112.2051,76.21,86,94,8.37,ID,1628793587
128,tasiilaq,65.6145,-37.6368,53.76,70,90,3.04,GL,1628793588
129,hobart,-42.8794,147.3294,53.26,69,40,1.99,AU,1628793394
130,moron,-34.6534,-58.6198,58.01,59,48,1.99,AR,1628793591
131,mareeba,-17.0,145.4333,65.12,89,79,2.44,AU,1628793592
132,leh,34.1667,77.5833,66.04,28,25,5.28,IN,1628793593
133,atuona,-9.8,-139.0333,77.5,70,27,18.37,PF,1628793595
134,amurzet,47.6967,131.0981,56.91,93,32,2.77,RU,1628793596
135,oromocto,45.8351,-66.4792,80.26,84,90,3.44,CA,1628793559
136,leshukonskoye,64.8989,45.7622,61.92,100,100,3.22,RU,1628793599
137,provideniya,64.3833,-173.3,40.95,71,48,1.66,RU,1628793600
138,cabo san lucas,22.8909,-109.9124,88.61,69,90,4.61,MX,1628793603
139,sorland,67.667,12.6934,55.47,90,42,5.97,NO,1628793605
140,atambua,-9.1061,124.8925,70.07,85,89,5.73,ID,1628793606
141,paramonga,-10.6667,-77.8333,67.8,67,33,10.92,PE,1628793608
142,sao filipe,14.8961,-24.4956,77.29,74,32,16.53,CV,1628793609
143,helmsdale,58.1168,-3.6517,64.27,74,100,10.4,GB,1628793611
144,arraial do cabo,-22.9661,-42.0278,71.46,78,75,9.22,BR,1628793613
145,boffa,10.1667,-14.0333,78.71,88,100,6.11,GN,1628793615
146,nemuro,43.3236,145.575,55.74,75,11,3.67,JP,1628793616
147,hualmay,-11.0964,-77.6139,67.71,66,6,10.8,PE,1628793619
148,camacha,33.0833,-16.3333,72.36,73,40,9.22,PT,1628793620
149,kitgum,3.2783,32.8867,69.26,81,74,0.92,UG,1628793622
150,ambon,-3.6954,128.1814,77.14,94,75,2.3,ID,1628793623
151,yulara,-25.2406,130.9889,44.44,53,0,5.75,AU,1628793624
152,guane,22.2025,-84.0875,92.41,47,18,10.4,CU,1628793626
153,bandarbeyla,9.4942,50.8122,75.47,86,47,28.57,SO,1628793628
154,villa carlos paz,-31.4241,-64.4978,56.48,39,34,8.99,AR,1628793629
155,beringovskiy,63.05,179.3167,44.55,84,86,4.23,RU,1628793631
156,east london,-33.0153,27.9116,50.94,87,75,11.5,ZA,1628793634
157,tartagal,-22.5164,-63.8013,69.94,24,11,6.04,AR,1628793635
158,nara,34.6851,135.8049,76.28,96,100,1.7,JP,1628793637
159,ketchikan,55.3422,-131.6461,66.67,68,20,13.8,US,1628793540
160,los llanos de aridane,28.6585,-17.9182,73.15,82,40,13.8,ES,1628793639
161,marawi,7.9986,124.2928,68.65,93,100,2.64,PH,1628793640
162,tarija,-21.5355,-64.7296,58.91,51,40,3.44,BO,1628793642
163,saldanha,-33.0117,17.9442,54.39,64,1,25.7,ZA,1628793643
164,ocampo,21.65,-101.5,72.05,39,6,3.36,MX,1628793645
165,avarua,-21.2078,-159.775,71.65,88,75,10.36,CK,1628793646
166,tateyama,34.9833,139.8667,75.22,89,100,9.78,JP,1628793647
167,cherskiy,68.75,161.3,56.91,61,100,2.28,RU,1628793649
168,penzance,50.1186,-5.5371,63.77,88,2,15.97,GB,1628793650
169,sao felix do xingu,-6.6447,-51.995,101.44,18,99,1.99,BR,1628793652
170,mackay,-21.15,149.2,66.04,94,90,5.75,AU,1628793655
171,husavik,66.0449,-17.3389,55.31,86,81,4.14,IS,1628793656
172,kesova gora,57.5836,37.2922,62.31,96,100,6.91,RU,1628793660
173,san cristobal,7.7669,-72.225,82.58,50,58,7.23,VE,1628793661
174,garden city,42.3256,-83.331,88.92,68,75,1.01,US,1628793663
175,mount isa,-20.7333,139.5,64.17,34,1,9.22,AU,1628793664
176,santa maria,-29.6842,-53.8069,52.9,62,0,11.5,BR,1628793665
177,laguna,38.421,-121.4238,103.64,46,1,4.61,US,1628793666
178,pindushi,62.9152,34.58,61.03,93,100,3.62,RU,1628793668
179,byron bay,-28.65,153.6167,59.11,88,0,9.82,AU,1628793669
180,muros,42.7762,-9.0603,77.85,64,8,10.67,ES,1628793671
181,saryagash,41.4511,69.1701,82.36,31,3,14.05,KZ,1628793672
182,kavieng,-2.5744,150.7967,78.49,82,100,4.61,PG,1628793673
183,gravelbourg,49.8834,-106.5512,66.47,30,9,17.72,CA,1628793675
184,lawrenceburg,38.0373,-84.8966,95.0,60,1,1.99,US,1628793677
185,deputatskiy,69.3,139.9,52.99,91,98,2.98,RU,1628793678
186,saint anthony,45.0205,-93.218,83.14,35,1,5.01,US,1628793680
187,tiksi,71.6872,128.8694,47.32,74,36,12.28,RU,1628793682
188,saint-avold,49.1027,6.7006,82.63,71,100,2.46,FR,1628793684
189,carora,10.1755,-70.0827,95.97,31,97,12.77,VE,1628793686
190,mahajanga,-15.7167,46.3167,71.62,83,20,3.44,MG,1628793687
191,marrakesh,31.6315,-8.0083,98.67,32,40,6.91,MA,1628793628
192,aklavik,68.2191,-135.0107,59.83,93,90,6.91,CA,1628793690
193,saint-philippe,-21.3585,55.7679,69.39,86,41,13.13,RE,1628793691
194,quelimane,-17.8786,36.8883,71.55,73,0,8.05,MZ,1628793693
195,winnemucca,40.973,-117.7357,93.25,17,1,10.36,US,1628793697
196,new plymouth,-39.0667,174.0833,55.06,89,100,21.41,NZ,1628793699
197,acatlan,20.15,-98.45,71.11,51,36,10.38,MX,1628793700
198,kazachinskoye,57.6953,93.2761,58.14,98,2,3.74,RU,1628793701
199,bambous virieux,-20.3428,57.7575,72.21,83,75,13.8,MU,1628793703
200,martapura,-3.4167,114.85,75.29,100,90,4.61,ID,1628793704
201,teya,60.3778,92.6267,59.16,98,100,1.63,RU,1628793705
202,hofn,64.2539,-15.2082,54.46,80,100,12.39,IS,1628793707
203,kodinsk,58.6881,99.1844,58.66,83,100,2.21,RU,1628793708
204,baykit,61.67,96.37,60.53,80,100,3.11,RU,1628793709
205,sisimiut,66.9395,-53.6735,52.03,59,23,5.35,GL,1628793711
206,brae,60.3964,-1.353,58.91,79,100,13.76,GB,1628793712
207,muti,7.2758,122.28,78.3,84,60,2.21,PH,1628793713
208,rundu,-17.9333,19.7667,66.33,17,0,2.62,NA,1628793715
209,insar,53.8653,44.3738,75.9,42,30,8.95,RU,1628793716
210,castro,-24.7911,-50.0119,52.83,92,100,7.43,BR,1628793640
211,broome,42.2506,-75.833,92.01,69,75,9.22,US,1628793719
212,florianopolis,-27.6146,-48.5012,55.26,51,75,8.05,BR,1628793720
213,champawat,29.3333,80.1,64.45,91,100,1.28,IN,1628793721
214,samarai,-10.6167,150.6667,77.7,86,100,17.07,PG,1628793723
215,kavaratti,10.5669,72.642,81.93,78,100,16.26,IN,1628793724
216,kendal,54.3268,-2.7476,65.32,66,52,14.34,GB,1628793726
217,saint-augustin,51.226,-58.6502,64.92,88,100,7.49,CA,1628793728
218,ribeira brava,32.65,-17.0667,76.71,78,7,4.92,PT,1628793730
219,zaraza,9.3503,-65.3245,80.37,83,100,1.92,VE,1628793731
220,knysna,-34.0363,23.0471,48.58,81,100,7.72,ZA,1628793732
221,andenes,69.3143,16.1194,55.38,94,75,2.3,NO,1628793734
222,bengkulu,-3.8004,102.2655,74.53,90,100,4.34,ID,1628793735
223,nanyamba,-10.6833,39.8333,68.32,91,0,1.99,TZ,1628793738
224,guerrero negro,27.9769,-114.0611,89.11,48,9,4.7,MX,1628793739
225,gazimurskiy zavod,51.5461,118.3266,49.55,93,60,0.92,RU,1628793740
226,pevek,69.7008,170.3133,42.96,64,100,10.83,RU,1628793742
227,turan,16.0678,108.2208,86.05,89,75,5.75,VN,1628793714
228,ust-nera,64.5667,143.2,60.22,95,81,3.33,RU,1628793744
229,bubaque,11.2833,-15.8333,80.13,79,99,11.77,GW,1628793746
230,halifax,44.6453,-63.5724,84.09,84,90,4.0,CA,1628793747
231,shuyskoye,59.3736,41.0305,63.23,99,100,5.53,RU,1628793748
232,shache,38.4167,77.2406,77.7,30,2,13.09,CN,1628793750
233,koygorodok,60.445,50.9968,57.69,76,36,5.66,RU,1628793751
234,adrar,20.5022,-10.0711,102.97,11,96,10.16,MR,1628793753
235,valparaiso,-33.0393,-71.6273,53.24,80,90,5.75,CL,1628793754
236,la virtud,14.05,-88.7,86.92,63,22,3.69,HN,1628793755
237,moville,42.4889,-96.0725,89.24,22,6,14.52,US,1628793757
238,presidencia roque saenz pena,-26.7852,-60.4388,66.88,18,70,7.25,AR,1628793758
239,santa cruz,-17.8,-63.1667,69.85,32,75,14.97,BO,1628793760
240,sorong,-0.8833,131.25,78.31,84,56,2.82,ID,1628793761
241,upernavik,72.7868,-56.1549,42.35,91,100,1.9,GL,1628793762
242,diamantino,-14.4086,-56.4461,88.88,27,51,7.2,BR,1628793765
243,kiama,-34.6833,150.8667,49.24,72,0,7.38,AU,1628793766
244,gravdal,68.1214,13.5031,55.29,88,75,5.75,NO,1628793768
245,algiers,36.7525,3.042,80.42,83,40,6.91,DZ,1628793769
246,nabire,-3.3667,135.4833,75.29,92,100,3.06,ID,1628793770
247,pulandian,39.3953,121.9669,71.73,86,100,4.68,CN,1628793772
248,lira,2.235,32.9097,68.85,81,83,4.7,UG,1628793569
249,popondetta,-8.7537,148.2534,71.1,96,100,2.98,PG,1628793774
250,chesma,53.8111,60.6533,53.2,53,1,5.23,RU,1628793775
251,taoudenni,22.6783,-3.9836,112.03,7,95,11.83,ML,1628793777
252,kalmunai,7.4167,81.8167,81.73,78,100,0.56,LK,1628793778
253,mount barker,-35.0667,138.8667,50.67,93,100,6.15,AU,1628793780
254,rehoboth,-23.3167,17.0833,55.36,24,6,6.87,NA,1628793781
255,waipawa,-41.4122,175.5153,52.43,86,100,18.43,NZ,1628793783
256,mar del plata,-38.0023,-57.5575,51.82,54,0,5.75,AR,1628793552
257,gamba,-2.65,10.0,74.34,86,5,6.44,GA,1628793785
258,medina,24.4686,39.6142,102.63,10,0,16.11,SA,1628793786
259,ahipara,-35.1667,173.1667,54.09,81,86,12.15,NZ,1628793788
260,saint-louis,16.3333,-15.0,103.64,23,11,7.99,SN,1628793789
261,kargil,34.5667,76.1,60.13,47,19,7.07,IN,1628793791
262,cape coast,5.1053,-1.2466,76.32,86,6,11.01,GH,1628793792
263,el vigia,8.6219,-71.6506,92.97,49,35,4.94,VE,1628793793
264,clyde river,70.4692,-68.5914,39.43,93,90,8.05,CA,1628793667
265,dicabisagan,17.0818,122.4157,80.06,87,100,4.97,PH,1628793796
266,college,64.8569,-147.8028,55.9,85,90,5.75,US,1628793671
267,marsh harbour,26.5412,-77.0636,84.0,75,10,17.11,BS,1628793574
268,huarmey,-10.0681,-78.1522,69.58,64,8,10.94,PE,1628793799
269,mporokoso,-9.3727,30.125,64.47,33,0,2.95,ZM,1628793801
270,bilma,18.6853,12.9164,97.86,23,3,13.58,NE,1628793802
271,dikson,73.5069,80.5464,45.32,96,77,13.29,RU,1628793803
272,saint-joseph,-21.3667,55.6167,68.38,82,19,7.72,RE,1628793805
273,cabedelo,-6.9811,-34.8339,83.07,75,26,13.85,BR,1628793806
274,ilulissat,69.2167,-51.1,53.62,50,75,9.22,GL,1628793807
275,saint joseph,39.7686,-94.8466,93.4,62,20,9.22,US,1628793632
276,kolondieba,11.0882,-6.8926,77.4,87,69,3.44,ML,1628793810
277,yumen,40.2833,97.2,72.79,28,0,5.95,CN,1628793811
278,palora,-1.7,-77.9333,78.91,81,99,2.35,EC,1628793813
279,moulins,46.5,3.3333,82.42,62,70,2.8,FR,1628793814
280,dingle,10.9995,122.6711,76.01,85,54,4.61,PH,1628793815
281,buchanan,5.8808,-10.0467,76.96,87,100,12.06,LR,1628793817
282,haicheng,40.8516,122.7475,62.91,96,5,4.07,CN,1628793613
283,roald,62.5833,6.1333,65.34,82,75,5.75,NO,1628793820
284,sarangani,5.4033,125.4636,82.38,77,87,9.08,PH,1628793822
285,vila velha,-20.3297,-40.2925,75.15,73,0,14.97,BR,1628793823
286,umm lajj,25.0213,37.2685,89.58,52,0,7.31,SA,1628793825
287,wajima,37.4,136.9,73.45,90,100,3.06,JP,1628793826
288,black diamond,47.3087,-122.0032,86.38,57,28,1.01,US,1628793827
289,lorengau,-2.0226,147.2712,80.62,79,89,6.2,PG,1628793829
290,kysyl-syr,63.8986,122.7617,57.83,74,57,3.74,RU,1628793830
291,tual,-5.6667,132.75,80.31,81,100,20.69,ID,1628793831
292,kristiansund,63.1115,7.732,63.25,82,75,0.0,NO,1628793833
293,butaritari,3.0707,172.7902,81.36,76,28,8.12,KI,1628793834
294,sidney,-33.8679,151.2073,51.28,78,0,6.91,AU,1628793723
295,yibin,28.7667,104.6238,73.0,96,100,5.48,CN,1628793837
296,nambour,-26.6333,152.95,59.86,96,16,2.95,AU,1628793610
297,nalut,30.3333,10.85,99.37,8,90,9.98,LY,1628793839
298,hudson bay,52.85,-102.3842,63.16,31,18,15.1,CA,1628793840
299,severodvinsk,64.5635,39.8302,64.51,92,100,3.04,RU,1628793842
300,kuito,-12.3833,16.9333,60.04,18,0,4.27,AO,1628793843
301,hasanabad,36.5465,61.0543,84.42,26,0,2.3,IR,1628793844
302,mahibadhoo,3.7833,72.9667,83.16,70,100,17.16,MV,1628793846
303,athabasca,54.7169,-113.2854,71.29,29,92,7.7,CA,1628793848
304,oistins,13.0667,-59.5333,87.89,66,75,20.71,BB,1628793851
305,yangambi,0.8102,24.4336,72.7,84,38,1.77,CD,1628793852
306,eau claire,44.8114,-91.4985,81.01,50,1,3.0,US,1628793855
307,pacific grove,36.6177,-121.9166,91.15,82,40,5.99,US,1628793741
308,nantucket,41.2835,-70.0995,88.97,78,1,14.97,US,1628793859
309,den helder,52.9599,4.7593,69.98,84,90,9.22,NL,1628793860
310,praia da vitoria,38.7333,-27.0667,79.05,73,40,22.64,PT,1628793861
311,coahuayana,18.7333,-103.6833,90.59,54,26,6.31,MX,1628793863
312,mtwara,-10.2667,40.1833,70.93,88,20,9.22,TZ,1628793864
313,piacabucu,-10.4056,-36.4344,77.34,71,23,7.43,BR,1628793865
314,vangaindrano,-23.35,47.6,65.53,92,0,7.09,MG,1628793867
315,bara,10.3744,10.7288,71.58,95,100,4.05,NG,1628793868
316,loiza,18.4313,-65.8802,91.2,61,20,14.97,PR,1628793869
317,atar,20.5169,-13.0499,106.9,11,78,14.79,MR,1628793871
318,qeshm,26.9581,56.2719,93.09,80,8,5.23,IR,1628793872
319,waihi,-37.3833,175.8333,51.62,86,62,7.63,NZ,1628793874
320,soria,41.6667,-2.6667,79.99,25,0,4.09,ES,1628793875
321,soure,-0.7167,-48.5233,81.43,81,100,9.78,BR,1628793876
322,matagami,49.7502,-77.6328,80.71,39,40,18.41,CA,1628793878
323,rio gallegos,-51.6226,-69.2181,57.25,33,75,21.85,AR,1628793879
324,sembe,1.6481,14.5806,75.94,74,87,4.05,CG,1628793880
325,hearst,49.6835,-83.6665,75.45,38,95,12.55,CA,1628793610
326,igunga,-4.2833,33.8833,80.35,34,100,4.65,TZ,1628793884
327,gabriel leyva solano,25.6667,-108.6417,73.22,56,72,3.44,MX,1628793885
328,ukiah,39.1502,-123.2078,98.13,31,1,0.0,US,1628793604
329,grootfontein,-19.5667,18.1167,67.57,26,0,3.44,NA,1628793888
330,manta,-0.95,-80.7333,78.58,78,75,8.05,EC,1628793889
331,ellsworth,44.5434,-68.4195,92.55,80,1,3.0,US,1628793891
332,robertsport,6.7533,-11.3686,77.36,87,100,14.56,LR,1628793892
333,lagoa,39.05,-27.9833,73.85,78,0,14.23,PT,1628793893
334,sale,34.0389,-6.8166,77.02,83,20,5.75,MA,1628793896
335,santa maria do para,-1.3503,-47.5756,80.65,90,100,6.15,BR,1628793702
336,olafsvik,64.8945,-23.7142,55.54,83,19,10.11,IS,1628793899
337,zabol,32.25,67.25,75.22,9,0,12.01,AF,1628793901
338,baghdad,33.3406,44.4009,103.91,17,0,10.36,IQ,1628793630
339,alta floresta,-9.8756,-56.0861,96.62,24,0,8.05,BR,1628793904
340,kununurra,-15.7667,128.7333,78.78,38,2,9.22,AU,1628793907
341,tottenham,-32.2333,147.35,41.99,88,0,8.12,AU,1628793908
342,tanout,14.9709,8.8879,82.74,60,100,16.64,NE,1628793910
343,mehamn,71.0357,27.8492,51.98,89,100,8.63,NO,1628793912
344,springbok,-29.6643,17.8865,40.84,77,4,6.31,ZA,1628793913
345,baker city,44.7749,-117.8344,89.6,32,1,8.05,US,1628793914
346,neuquen,-38.9516,-68.0591,60.69,33,0,8.05,AR,1628793620
347,kaka,37.3482,59.6143,87.82,15,0,6.82,TM,1628793918
348,maceio,-9.6658,-35.7353,81.84,61,40,10.36,BR,1628793919
349,wattens,47.2722,11.5993,75.11,57,20,2.3,AT,1628793921
350,great bend,38.3645,-98.7648,99.03,37,1,5.99,US,1628793746
351,opuwo,-18.0607,13.84,66.2,30,0,4.7,NA,1628793923
352,palmer,42.1584,-72.3287,95.32,54,75,5.01,US,1628793924
353,tapejara,-28.0681,-52.0139,58.62,69,100,8.25,BR,1628793757
354,hidalgotitlan,17.7833,-94.6333,86.02,66,100,6.76,MX,1628793927
355,pak phanang,8.3511,100.202,79.81,79,93,8.03,TH,1628793928
356,gewane,10.1664,40.6453,91.17,37,13,5.01,ET,1628793930
357,port augusta,-32.5,137.7667,42.94,80,7,3.2,AU,1628793931
358,saurimo,-9.6608,20.3916,71.02,17,0,3.58,AO,1628793933
359,murgab,37.4966,61.9714,87.67,27,0,4.61,TM,1628793935
360,laramie,41.3114,-105.5911,80.35,28,1,1.01,US,1628793936
361,fort wellington,6.4,-57.6,83.35,74,68,3.8,GY,1628793938
362,kumluca,36.3703,30.2869,84.63,46,15,6.46,TR,1628793939
363,erenhot,43.6475,111.9767,72.32,37,100,7.11,CN,1628793940
364,haines junction,60.7522,-137.5108,66.15,55,100,9.22,CA,1628793943
365,codrington,-38.2667,141.9667,46.83,96,17,12.41,AU,1628793945
366,sulangan,11.1373,123.7228,83.64,72,79,6.67,PH,1628793947
367,farafangana,-22.8167,47.8333,67.98,86,0,11.54,MG,1628793949
368,saint-pierre,-21.3393,55.4781,69.48,73,0,5.75,RE,1628793950
369,oyama,36.3,139.8,75.04,95,100,5.14,JP,1628793951
370,arfara,37.15,22.0333,85.6,42,0,3.44,GR,1628793952
371,sangar,63.9242,127.4739,55.62,77,10,4.65,RU,1628793955
